Data.Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,Station.City,Station.Code,Station.Location,Station.State,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed,Feels_Like_Temp
0.49,2016-01-03,1,3,2016,Jacksonville,JAX,"Jacksonville, FL",Florida,56,61,50,31,4.83,56.483
0.5,2016-01-03,1,3,2016,Key West,EYW,"Key West, FL",Florida,79,82,74,17,4.53,79.453
1.13,2016-01-03,1,3,2016,Miami,MIA,"Miami, FL",Florida,76,82,70,17,3.33,76.333
0.14,2016-01-03,1,3,2016,Orlando,MCO,"Orlando, FL",Florida,65,72,57,31,6.93,65.693
0.12,2016-01-03,1,3,2016,Pensacola,PNS,"Pensacola, FL",Florida,48,52,44,35,9.33,48.933
0.46,2016-01-03,1,3,2016,Tallahassee,TLH,"Tallahassee, FL",Florida,53,57,48,34,6.16,53.616
0.18,2016-01-03,1,3,2016,Tampa,TPA,"Tampa, FL",Florida,66,71,59,8,5.73,66.573
0.97,2016-01-03,1,3,2016,Vero Beach,VRB,"Vero Beach, FL",Florida,69,74,62,28,6.9,69.69
0.24,2016-01-03,1,3,2016,West Palm Beach,PBI,"West Palm Beach, FL",Florida,74,80,67,27,6.83,74.683
0.66,2016-01-03,1,3,2016,Alma,AMG,"Alma, GA",Georgia,51,58,47,32,5.06,51.506
0.0,2016-01-03,1,3,2016,Athens,AHN,"Athens, GA",Georgia,45,54,36,29,5.1,45.51
0.0,2016-01-03,1,3,2016,Atlanta,ATL,"Atlanta, GA",Georgia,42,48,36,31,10.93,43.093
0.0,2016-01-03,1,3,2016,Augusta,AGS,"Augusta, GA",Georgia,48,56,41,31,3.06,48.306
0.01,2016-01-03,1,3,2016,Macon,MCN,"Macon, GA",Georgia,47,53,40,31,5.46,47.546
0.41,2016-01-03,1,3,2016,Savannah,SAV,"Savannah, GA",Georgia,56,62,49,31,5.0,56.5
0.11,2016-01-03,1,3,2016,Hilo,ITO,"Hilo, HI",Hawaii,73,81,65,20,3.33,73.333
0.0,2016-01-03,1,3,2016,Honolulu,HNL,"Honolulu, HI",Hawaii,73,81,64,24,5.13,73.513
0.04,2016-01-03,1,3,2016,Kahului,OGG,"Kahului, HI",Hawaii,71,80,60,3,8.4,71.84
0.04,2016-01-03,1,3,2016,Kaunakakai,MKK,"Kaunakakai, HI",Hawaii,72,79,64,14,8.86,72.886
0.0,2016-01-03,1,3,2016,Lihue,LIH,"Lihue, HI",Hawaii,70,79,60,23,6.06,70.606
0.0,2016-01-03,1,3,2016,Boise,BOI,"Boise, ID",Idaho,15,23,7,16,3.0,15.3
0.0,2016-01-03,1,3,2016,Lewiston,LWS,"Lewiston, ID",Idaho,21,29,12,9,2.56,21.256
0.0,2016-01-03,1,3,2016,Pocatello,PIH,"Pocatello, ID",Idaho,8,21,-4,2,2.66,8.266
0.0,2016-01-03,1,3,2016,Chicago,ORD,"Chicago, IL",Illinois,25,30,20,28,12.16,26.216
0.0,2016-01-03,1,3,2016,Moline,MLI,"Moline, IL",Illinois,25,31,19,28,10.9,26.09
0.0,2016-01-03,1,3,2016,Peoria,PIA,"Peoria, IL",Illinois,29,35,22,28,8.2,29.82
0.0,2016-01-03,1,3,2016,Quincy,UIN,"Quincy, IL",Illinois,29,35,22,28,10.53,30.053
0.0,2016-01-03,1,3,2016,Rockford,RFD,"Rockford, IL",Illinois,24,30,18,28,9.73,24.973
0.0,2016-01-03,1,3,2016,Springfield,SPI,"Springfield, IL",Illinois,31,37,24,27,9.96,31.996
0.0,2016-01-03,1,3,2016,Evansville,EVV,"Evansville, IN",Indiana,35,43,27,27,6.06,35.606
0.0,2016-01-03,1,3,2016,Fort Wayne,FWA,"Fort Wayne, IN",Indiana,29,31,25,26,13.2,30.32
0.0,2016-01-03,1,3,2016,Indianapolis,IND,"Indianapolis, IN",Indiana,29,34,24,26,10.73,30.073
0.03,2016-01-03,1,3,2016,South Bend,SBN,"South Bend, IN",Indiana,27,30,23,26,11.83,28.183
0.0,2016-01-03,1,3,2016,Cedar Rapids,CID,"Cedar Rapids, IA",Iowa,22,28,15,28,11.46,23.146
0.0,2016-01-03,1,3,2016,Des Moines,DSM,"Des Moines, IA",Iowa,24,32,16,30,10.0,25.0
0.0,2016-01-03,1,3,2016,Dubuque,DBQ,"Dubuque, IA",Iowa,21,27,14,28,11.86,22.186
0.0,2016-01-03,1,3,2016,Sioux City,SUX,"Sioux City, IA",Iowa,21,31,11,30,8.63,21.863
0.0,2016-01-03,1,3,2016,Waterloo,ALO,"Waterloo, IA",Iowa,22,29,13,28,11.06,23.106
0.0,2016-01-03,1,3,2016,Concordia,CNK,"Concordia, KS",Kansas,31,43,18,29,8.96,31.896
0.0,2016-01-03,1,3,2016,Dodge City,DDC,"Dodge City, KS",Kansas,31,46,16,31,8.36,31.836
0.0,2016-01-03,1,3,2016,Goodland,GLD,"Goodland, KS",Kansas,30,46,13,28,8.1,30.81
0.0,2016-01-03,1,3,2016,Medicine Lodge,P28,"Medicine Lodge, KS",Kansas,34,49,19,32,4.9,34.49
0.0,2016-01-03,1,3,2016,Topeka,TOP,"Topeka, KS",Kansas,32,43,22,29,5.96,32.596
0.0,2016-01-03,1,3,2016,Wichita,ICT,"Wichita, KS",Kansas,33,45,21,29,5.96,33.596
0.0,2016-01-03,1,3,2016,Covington,CVG,"Covington, KY",Kentucky,33,39,27,26,7.73,33.773
0.0,2016-01-03,1,3,2016,Jackson,JKL,"Jackson, KY",Kentucky,37,45,28,24,2.93,37.293
0.0,2016-01-03,1,3,2016,Lexington,LEX,"Lexington, KY",Kentucky,35,42,27,25,7.93,35.793
0.0,2016-01-03,1,3,2016,Louisville,SDF,"Louisville, KY",Kentucky,38,45,31,27,6.7,38.67
0.0,2016-01-03,1,3,2016,Paducah,PAH,"Paducah, KY",Kentucky,36,47,25,27,5.6,36.56
0.09,2016-01-03,1,3,2016,Baton Rouge,BTR,"Baton Rouge, LA",Louisiana,47,53,40,23,3.43,47.343
0.08,2016-01-03,1,3,2016,Lake Charles,LCH,"Lake Charles, LA",Louisiana,47,52,43,12,8.33,47.833
0.59,2016-01-03,1,3,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,50,54,46,13,11.93,51.193
0.0,2016-01-03,1,3,2016,Shreveport,SHV,"Shreveport, LA",Louisiana,46,53,39,21,5.36,46.536
0.22,2016-01-03,1,3,2016,Slidell,ASD,"Slidell, LA",Louisiana,47,53,42,23,6.66,47.666
0.0,2016-01-03,1,3,2016,Bangor,BGR,"Bangor, ME",Maine,29,35,22,24,4.6,29.46
0.1,2016-01-03,1,3,2016,Caribou,CAR,"Caribou, ME",Maine,23,29,17,25,5.66,23.566
0.01,2016-01-03,1,3,2016,Portland,PWM,"Portland, ME",Maine,34,39,28,24,7.53,34.753
0.0,2016-01-03,1,3,2016,Baltimore,BWI,"Baltimore, MD",Maryland,37,48,26,27,5.36,37.536
0.0,2016-01-03,1,3,2016,Salisbury,SBY,"Salisbury, MD",Maryland,38,48,28,27,3.46,38.346
0.0,2016-01-03,1,3,2016,Boston,BOS,"Boston, MA",Massachusetts,37,41,31,25,11.83,38.183
0.0,2016-01-03,1,3,2016,Milton,MQE,"Milton, MA",Massachusetts,60,60,60,25,11.6,61.16
0.0,2016-01-03,1,3,2016,Worcester,ORH,"Worcester, MA",Massachusetts,31,35,26,25,11.56,32.156
0.01,2016-01-03,1,3,2016,Alpena,APN,"Alpena, MI",Michigan,27,32,21,26,8.96,27.896
0.0,2016-01-03,1,3,2016,Detroit,DTW,"Detroit, MI",Michigan,32,36,27,24,12.96,33.296
0.05,2016-01-03,1,3,2016,Flint,FNT,"Flint, MI",Michigan,31,34,27,27,11.13,32.113
0.04,2016-01-03,1,3,2016,Grand Rapids,GRR,"Grand Rapids, MI",Michigan,30,33,26,27,13.3,31.33
0.08,2016-01-03,1,3,2016,Houghton Lake,HTL,"Houghton Lake, MI",Michigan,26,30,21,27,11.16,27.116
0.04,2016-01-03,1,3,2016,Lansing,LAN,"Lansing, MI",Michigan,29,32,25,26,12.5,30.25
0.21,2016-01-03,1,3,2016,Marquette,MQT,"Marquette, MI",Michigan,23,27,18,0,0.0,23.0
0.0,2016-01-03,1,3,2016,Muskegon,MKG,"Muskegon, MI",Michigan,31,35,27,28,13.23,32.323
0.04,2016-01-03,1,3,2016,Sault Ste Marie,ANJ,"Sault Ste Marie, MI",Michigan,24,31,17,28,9.56,24.956
0.0,2016-01-03,1,3,2016,Duluth,DLH,"Duluth, MN",Minnesota,22,27,17,30,11.56,23.156
0.0,2016-01-03,1,3,2016,International Falls,INL,"International Falls, MN",Minnesota,21,25,15,29,7.76,21.776
0.0,2016-01-03,1,3,2016,Minneapolis,MSP,"Minneapolis, MN",Minnesota,23,30,16,28,9.36,23.936
0.0,2016-01-03,1,3,2016,Rochester,RST,"Rochester, MN",Minnesota,19,26,13,29,13.73,20.373
0.0,2016-01-03,1,3,2016,St Cloud,STC,"St Cloud, MN",Minnesota,20,29,10,29,9.03,20.903
0.0,2016-01-03,1,3,2016,Greenville,GLH,"Greenville, MS",Mississippi,42,48,35,30,4.56,42.456
0.0,2016-01-03,1,3,2016,Greenwood,GWO,"Greenwood, MS",Mississippi,40,48,32,23,2.36,40.236
0.38,2016-01-03,1,3,2016,Gulfport,GPT,"Gulfport, MS",Mississippi,47,52,42,35,9.76,47.976
0.02,2016-01-03,1,3,2016,Hattiesburg,HBG,"Hattiesburg, MS",Mississippi,46,51,40,34,5.76,46.576
0.0,2016-01-03,1,3,2016,Jackson,JAN,"Jackson, MS",Mississippi,44,50,38,33,5.43,44.543
0.01,2016-01-03,1,3,2016,Meridian,MEI,"Meridian, MS",Mississippi,43,49,36,34,5.56,43.556
0.0,2016-01-03,1,3,2016,Tupelo,TUP,"Tupelo, MS",Mississippi,40,50,31,23,4.13,40.413
0.0,2016-01-03,1,3,2016,Cape Girardeau,CGI,"Cape Girardeau, MO",Missouri,37,46,27,29,5.96,37.596
0.0,2016-01-03,1,3,2016,Columbia,COU,"Columbia, MO",Missouri,33,41,24,28,9.26,33.926
0.0,2016-01-03,1,3,2016,Kansas City,MCI,"Kansas City, MO",Missouri,29,38,20,28,8.13,29.813
0.0,2016-01-03,1,3,2016,Rolla/Vichy,VIH,"Rolla/Vichy, MO",Missouri,33,41,24,27,8.63,33.863
0.0,2016-01-03,1,3,2016,Springfield,SGF,"Springfield, MO",Missouri,35,45,23,28,7.5,35.75
0.0,2016-01-03,1,3,2016,St Joseph,STJ,"St Joseph, MO",Missouri,26,36,16,28,5.5,26.55
0.0,2016-01-03,1,3,2016,St Louis,STL,"St Louis, MO",Missouri,36,43,29,28,9.03,36.903
0.0,2016-01-03,1,3,2016,Billings,BIL,"Billings, MT",Montana,23,29,16,22,18.86,24.886
0.0,2016-01-03,1,3,2016,Butte,BTM,"Butte, MT",Montana,0,13,-12,15,1.8,0.18000000000000002
0.0,2016-01-03,1,3,2016,Cut Bank,CTB,"Cut Bank, MT",Montana,8,22,-6,21,4.83,8.483
0.0,2016-01-03,1,3,2016,Dillon,DLN,"Dillon, MT",Montana,7,16,-2,19,6.4,7.640000000000001
0.0,2016-01-03,1,3,2016,Glasgow,GGW,"Glasgow, MT",Montana,8,18,-1,23,6.16,8.616
0.0,2016-01-03,1,3,2016,Great Falls,GTF,"Great Falls, MT",Montana,17,27,7,22,11.0,18.1
0.0,2016-01-03,1,3,2016,Havre,HVR,"Havre, MT",Montana,10,20,0,18,9.0,10.9
0.0,2016-01-03,1,3,2016,Helena,HLN,"Helena, MT",Montana,3,12,-5,23,0.53,3.053
0.01,2016-01-03,1,3,2016,Kalispell,GPI,"Kalispell, MT",Montana,6,16,-3,31,1.6,6.16
0.0,2016-01-03,1,3,2016,Miles City,MLS,"Miles City, MT",Montana,19,31,6,21,6.26,19.626
0.0,2016-01-03,1,3,2016,Missoula,MSO,"Missoula, MT",Montana,7,16,-2,12,2.33,7.233
0.0,2016-01-03,1,3,2016,Grand Island,GRI,"Grand Island, NE",Nebraska,26,37,15,30,9.03,26.903
0.0,2016-01-03,1,3,2016,Lincoln,LNK,"Lincoln, NE",Nebraska,26,36,16,18,5.7,26.57
0.0,2016-01-03,1,3,2016,Norfolk,OFK,"Norfolk, NE",Nebraska,22,32,12,29,9.43,22.943
0.0,2016-01-03,1,3,2016,North Platte,LBF,"North Platte, NE",Nebraska,26,43,8,30,6.7,26.67
0.0,2016-01-03,1,3,2016,Omaha,OMA,"Omaha, NE",Nebraska,22,31,12,31,6.83,22.683
0.0,2016-01-03,1,3,2016,Scottsbluff,BFF,"Scottsbluff, NE",Nebraska,18,31,5,21,6.36,18.636
0.0,2016-01-03,1,3,2016,Sidney,SNY,"Sidney, NE",Nebraska,21,33,8,28,10.86,22.086
0.0,2016-01-03,1,3,2016,Valentine,VTN,"Valentine, NE",Nebraska,20,34,7,26,7.8,20.78
0.0,2016-01-03,1,3,2016,Ely,ELY,"Ely, NV",Nevada,7,22,-8,26,3.46,7.346
0.0,2016-01-03,1,3,2016,Eureka,P68,"Eureka, NV",Nevada,12,24,-7,12,3.4,12.34
0.0,2016-01-03,1,3,2016,Las Vegas,LAS,"Las Vegas, NV",Nevada,44,52,35,24,1.03,44.103
0.0,2016-01-03,1,3,2016,Mercury,DRA,"Mercury, NV",Nevada,39,47,30,9,7.96,39.796
0.0,2016-01-03,1,3,2016,Reno,RNO,"Reno, NV",Nevada,22,29,15,18,2.96,22.296
0.0,2016-01-03,1,3,2016,Winnemucca,WMC,"Winnemucca, NV",Nevada,12,25,-1,8,6.6,12.66
0.0,2016-01-03,1,3,2016,Concord,CON,"Concord, NH",New Hampshire,34,39,29,24,6.16,34.616
0.0,2016-01-03,1,3,2016,Mt. Washington,MWN,"Mt. Washington, NH",New Hampshire,60,60,60,27,52.6,65.26
0.0,2016-01-03,1,3,2016,Atlantic City,ACY,"Atlantic City, NJ",New Jersey,36,46,26,28,6.26,36.626
0.0,2016-01-03,1,3,2016,Newark,EWR,"Newark, NJ",New Jersey,37,44,30,25,10.1,38.01
0.0,2016-01-03,1,3,2016,Albuquerque,ABQ,"Albuquerque, NM",New Mexico,31,38,23,27,4.63,31.463
0.0,2016-01-03,1,3,2016,Clayton,CAO,"Clayton, NM",New Mexico,31,46,15,27,5.06,31.506
0.02,2016-01-03,1,3,2016,Roswell,ROW,"Roswell, NM",New Mexico,27,36,17,17,1.8,27.18
0.01,2016-01-03,1,3,2016,Albany,ALB,"Albany, NY",New York,33,38,28,25,6.23,33.623
0.01,2016-01-03,1,3,2016,Binghamton,BGM,"Binghamton, NY",New York,25,30,21,26,8.86,25.886
0.13,2016-01-03,1,3,2016,Buffalo,BUF,"Buffalo, NY",New York,29,34,23,26,13.73,30.373
0.01,2016-01-03,1,3,2016,Glens Falls,GFL,"Glens Falls, NY",New York,33,37,29,21,7.3,33.73
0.0,2016-01-03,1,3,2016,Islip,ISP,"Islip, NY",New York,37,44,30,27,8.63,37.863
0.0,2016-01-03,1,3,2016,New York,LGA,"New York, NY",New York,40,43,35,27,11.7,41.17
0.05,2016-01-03,1,3,2016,Rochester,ROC,"Rochester, NY",New York,28,34,22,26,11.23,29.123
0.19,2016-01-03,1,3,2016,Syracuse,SYR,"Syracuse, NY",New York,29,34,23,24,11.5,30.15
0.0,2016-01-03,1,3,2016,Asheville,AVL,"Asheville, NC",North Carolina,39,46,30,34,10.16,40.016
0.16,2016-01-03,1,3,2016,Cape Hatteras,HSE,"Cape Hatteras, NC",North Carolina,50,56,44,21,4.43,50.443
0.0,2016-01-03,1,3,2016,Charlotte,CLT,"Charlotte, NC",North Carolina,43,53,33,18,2.3,43.23
0.0,2016-01-03,1,3,2016,Greensboro,GSO,"Greensboro, NC",North Carolina,41,51,31,30,4.2,41.42
0.0,2016-01-03,1,3,2016,Hickory,HKY,"Hickory, NC",North Carolina,43,53,32,31,2.36,43.236
0.0,2016-01-03,1,3,2016,Raleigh/Durham,RDU,"Raleigh/Durham, NC",North Carolina,43,52,35,27,1.86,43.186
0.63,2016-01-03,1,3,2016,Wilmington,ILM,"Wilmington, NC",North Carolina,48,56,40,32,5.03,48.503
0.0,2016-01-03,1,3,2016,Bismarck,BIS,"Bismarck, ND",North Dakota,21,30,12,25,7.9,21.79
0.0,2016-01-03,1,3,2016,Dickinson,DIK,"Dickinson, ND",North Dakota,20,30,9,25,10.76,21.076
0.0,2016-01-03,1,3,2016,Fargo,FAR,"Fargo, ND",North Dakota,20,28,12,27,7.8,20.78
0.0,2016-01-03,1,3,2016,Grand Forks,GFK,"Grand Forks, ND",North Dakota,19,28,10,28,9.46,19.946
0.0,2016-01-03,1,3,2016,Williston,ISN,"Williston, ND",North Dakota,21,26,9,24,8.1,21.81
0.05,2016-01-03,1,3,2016,Akron,CAK,"Akron, OH",Ohio,29,32,25,26,11.4,30.14
0.02,2016-01-03,1,3,2016,Cleveland,CLE,"Cleveland, OH",Ohio,29,32,26,25,12.43,30.243
0.0,2016-01-03,1,3,2016,Columbus,CMH,"Columbus, OH",Ohio,31,35,26,26,8.53,31.853
0.0,2016-01-03,1,3,2016,Dayton,DAY,"Dayton, OH",Ohio,30,35,24,26,11.93,31.193
0.0,2016-01-03,1,3,2016,Mansfield,MFD,"Mansfield, OH",Ohio,27,31,23,24,11.46,28.146
0.0,2016-01-03,1,3,2016,Toledo,TOL,"Toledo, OH",Ohio,29,31,25,26,12.7,30.27
0.03,2016-01-03,1,3,2016,Youngstown/Warren,YNG,"Youngstown/Warren, OH",Ohio,28,32,24,25,11.23,29.123
0.0,2016-01-03,1,3,2016,Gage,GAG,"Gage, OK",Oklahoma,33,47,18,28,5.46,33.546
0.0,2016-01-03,1,3,2016,Oklahoma City,OKC,"Oklahoma City, OK",Oklahoma,35,46,24,30,7.16,35.716
0.0,2016-01-03,1,3,2016,Ponca City,PNC,"Ponca City, OK",Oklahoma,33,47,20,28,3.96,33.396
0.0,2016-01-03,1,3,2016,Tulsa,TUL,"Tulsa, OK",Oklahoma,36,48,24,29,5.1,36.51
0.21,2016-01-03,1,3,2016,Astoria,AST,"Astoria, OR",Oregon,36,42,30,9,9.46,36.946
0.06,2016-01-03,1,3,2016,Burns,BNO,"Burns, OR",Oregon,7,21,-6,11,3.5,7.35
0.06,2016-01-03,1,3,2016,Eugene,EUG,"Eugene, OR",Oregon,30,36,23,1,7.86,30.786
0.01,2016-01-03,1,3,2016,Medford,MFR,"Medford, OR",Oregon,34,43,24,9,3.4,34.34
0.01,2016-01-03,1,3,2016,Pendleton,PDT,"Pendleton, OR",Oregon,19,20,17,12,4.0,19.4
0.31,2016-01-03,1,3,2016,Portland,PDX,"Portland, OR",Oregon,32,35,29,9,19.93,33.993
